match_name,gi_num,present_in_rs_v219
Streptomyce phage TG1,408905848,yes
Propionibacterium phage P100D,408905847,yes
Propionibacterium phage ATCC29399B_C,408905846,yes
Propionibacterium phage P105,408905844,yes
Streptomyces phage SV1,408905843,yes
Propionibacterium phage ATCC29399B_T,408905842,yes
Escherichia phage P13374,408905841,yes
Propionibacterium phage P104A,408905840,yes
Salmonella phage SSU5,408905838,yes
Propionibacterium phage P1.1,408905837,yes
Propionibacterium phage P101A,408905836,yes
Propionibacterium phage P100_1,408905835,yes
Propionibacterium phage P14.4,408905834,yes
Propionibacterium phage P100_A,408905833,yes
Pectobacterium phage My1,408905832,yes
Streptomyces phage phiHau3,408905831,yes
Enterobacteria phage NJ01,408905830,yes
Propionibacterium phage P9.1,408905829,yes
Providencia phage Redjac,408905827,yes
Listeria phage P70,408905826,yes
Pseudomonas phage tf,403225042,yes
Cronobacter phage phiES15,401817563,yes
Burkholderia phage DC1,401723014,yes
Staphylococcus phage vB_SepiS-phiIPLA7,399529119,yes
Burkholderia phage AH2,399529040,yes
Pseudomonas phage MP1412,399528962,yes
Staphylococcus phage vB_SepiS-phiIPLA5,399528895,yes
Celeribacter phage P12053L,399528838,yes
Salmonella phage vB_SosS_Oslo,399528758,yes
Burkholderia phage KL1,399528702,yes
Croceibacter phage P2559S,399528633,yes
Pseudomonas phage MP42,399528579,yes
Leuconostoc phage Lmd1,399528538,yes
Persicivirga phage P12024L,399528479,yes
Weissella phage phiYS61,399528370,yes
Marinomonas phage P12026,399528315,yes
Staphylococcus phage SpaA1,399498862,yes
Salmonella phage vB_SemP_Emek,399498791,yes
Streptococcus phage YMC-2011,399498678,yes
Thermoanaerobacterium phage THSA-485A,397912605,yes
Streptococcus phage SMP,393707861,yes
Colwellia phage 9A,392973229,yes
Enterococcus phage BC-611,392972768,yes
Bacillus phage BtCS33,392972710,yes
Clostridium phage phiZP2,392972682,yes
